"LOCATION","Country","INDICATOR","Indicator","MEASURE","Measure","INEQUALITY","Inequality","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ISR","Israel","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.2,,
"LVA","Latvia","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.2,,
"RUS","Russia","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,0.9,,
"SVN","Slovenia","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.5,,
"OECD","OECD - Total","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.8,,
"AUS","Australia","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,32759,,
"AUT","Austria","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,33541,,
"BEL","Belgium","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,30364,,
"CAN","Canada","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,30854,,
"CZE","Czech Republic","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,21453,,
"DNK","Denmark","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,29606,,
"FIN","Finland","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,29943,,
"FRA","France","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,31304,,
"DEU","Germany","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,34294,,
"GRC","Greece","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,17700,,
"IRL","Ireland","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,25310,,
"ITA","Italy","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,26588,,
"JPN","Japan","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,29798,,
"KOR","Korea","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,21882,,
"LUX","Luxembourg","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,39264,,
"NLD","Netherlands","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,29333,,
"NOR","Norway","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,35725,,
"POL","Poland","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,19814,,
"PRT","Portugal","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,21203,,
"SVK","Slovak Republic","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,20474,,
"ESP","Spain","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,23999,,
"SWE","Sweden","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,31287,,
"CHE","Switzerland","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,37466,,
"GBR","United Kingdom","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,28715,,
"USA","United States","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,45284,,
"EST","Estonia","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,19697,,
"LVA","Latvia","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,16275,,
"SVN","Slovenia","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,20820,,
"OECD","OECD - Total","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,33604,,
"AUS","Australia","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,427064,,
"AUT","Austria","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,308325,,
"BEL","Belgium","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,386006,,
"CAN","Canada","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,423849,,
"DNK","Denmark","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,118637,,
"FIN","Finland","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,200827,,
"FRA","France","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,280653,,
"DEU","Germany","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,259667,,
"GRC","Greece","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,150134,,
"HUN","Hungary","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,104458,,
"IRL","Ireland","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,217130,,
"ITA","Italy","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,279889,,
"JPN","Japan","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,305878,,
"KOR","Korea","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,285980,,
"LUX","Luxembourg","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,769053,,
"NLD","Netherlands","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,157824,,
"NZL","New Zealand","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,388514,,
"NOR","Norway","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,228936,,
"POL","Poland","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,210991,,
"PRT","Portugal","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,232666,,
"ESP","Spain","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,373548,,
"GBR","United Kingdom","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,548392,,
"USA","United States","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,632100,,
"CHL","Chile","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,100967,,
"EST","Estonia","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,159373,,
"LVA","Latvia","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,70160,,
"SVN","Slovenia","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,203044,,
"OECD","OECD - Total","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,409880,,
"AUS","Australia","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,73,,
"AUT","Austria","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,72,,
"BEL","Belgium","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,63,,
"CAN","Canada","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,73,,
"CZE","Czech Republic","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,74,,
"DNK","Denmark","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,74,,
"FIN","Finland","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,70,,
"FRA","France","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,65,,
"DEU","Germany","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,75,,
"GRC","Greece","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,53,,
"HUN","Hungary","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,68,,
"ISL","Iceland","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,86,,
"IRL","Ireland","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,67,,
"ITA","Italy","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,58,,
"JPN","Japan","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,75,,
"KOR","Korea","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,67,,
"LUX","Luxembourg","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,66,,
"MEX","Mexico","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,61,,
"NLD","Netherlands","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,76,,
"NZL","New Zealand","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,77,,
"NOR","Norway","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,74,,
"POL","Poland","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,66,,
"PRT","Portugal","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,68,,
"SVK","Slovak Republic","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,66,,
"ESP","Spain","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,62,,
"SWE","Sweden","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,77,,
"CHE","Switzerland","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,80,,
"TUR","Turkey","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,52,,
"GBR","United Kingdom","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,75,,
"USA","United States","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,70,,
"BRA","Brazil","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,61,,
"CHL","Chile","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,63,,
"EST","Estonia","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,74,,
"ISR","Israel","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,69,,
"LVA","Latvia","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,70,,
"RUS","Russia","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,70,,
"SVN","Slovenia","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,69,,
"ZAF","South Africa","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,43,,
"OECD","OECD - Total","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,68,,
"AUS","Australia","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,78,,
"AUT","Austria","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,76,,
"BEL","Belgium","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,68,,
"CAN","Canada","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,76,,
"CZE","Czech Republic","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,81,,
"DNK","Denmark","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,77,,
"FIN","Finland","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,72,,
"FRA","France","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,69,,
"DEU","Germany","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,79,,
"GRC","Greece","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,63,,
"HUN","Hungary","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,75,,
"ISL","Iceland","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,88,,
"IRL","Ireland","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,73,,
"ITA","Italy","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,67,,
"JPN","Japan","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,83,,
"KOR","Korea","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,76,,
"LUX","Luxembourg","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,70,,
"MEX","Mexico","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,79,,
"NLD","Netherlands","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,80,,
"NZL","New Zealand","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,82,,
"NOR","Norway","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,76,,
"POL","Poland","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,73,,
"PRT","Portugal","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,71,,
"SVK","Slovak Republic","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,72,,
"ESP","Spain","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,68,,
"SWE","Sweden","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,78,,
"CHE","Switzerland","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,84,,
"TUR","Turkey","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,71,,
"GBR","United Kingdom","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,80,,
"USA","United States","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,75,,
"BRA","Brazil","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,71,,
"CHL","Chile","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,72,,
"EST","Estonia","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,77,,
"ISR","Israel","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,72,,
"LVA","Latvia","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,72,,
"RUS","Russia","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,76,,
"SVN","Slovenia","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,73,,
"ZAF","South Africa","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,49,,
"OECD","OECD - Total","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,76,,
"AUS","Australia","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,68,,
"AUT","Austria","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,68,,
"BEL","Belgium","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,59,,
"CAN","Canada","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,71,,
"CZE","Czech Republic","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,66,,
"DNK","Denmark","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,71,,
"FIN","Finland","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,69,,
"FRA","France","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,62,,
"DEU","Germany","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,72,,
"GRC","Greece","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,44,,
"HUN","Hungary","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,61,,
"ISL","Iceland","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,83,,
"IRL","Ireland","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,62,,
"ITA","Italy","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,49,,
"JPN","Japan","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,67,,
"KOR","Korea","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,57,,
"LUX","Luxembourg","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,63,,
"MEX","Mexico","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,45,,
"NLD","Netherlands","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,71,,
"NZL","New Zealand","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,72,,
"NOR","Norway","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,72,,
"POL","Poland","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,59,,
"PRT","Portugal","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,65,,
"SVK","Slovak Republic","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,60,,
"ESP","Spain","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,57,,
"SWE","Sweden","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,75,,
"CHE","Switzerland","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,75,,
"TUR","Turkey","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,32,,
"GBR","United Kingdom","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,70,,
"USA","United States","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,65,,
"BRA","Brazil","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,51,,
"CHL","Chile","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,53,,
"EST","Estonia","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,71,,
"ISR","Israel","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,66,,
"LVA","Latvia","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,68,,
"RUS","Russia","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,65,,
"SVN","Slovenia","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,66,,
"ZAF","South Africa","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,38,,
"OECD","OECD - Total","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,60,,
"AUS","Australia","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,1.31,,
"AUT","Austria","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,1.84,,
"BEL","Belgium","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,3.54,,
"CAN","Canada","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.77,,
"CZE","Czech Republic","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,1.04,,
"DNK","Denmark","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,1.31,,
"FIN","Finland","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,2.13,,
"FRA","France","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,4,,
"DEU","Germany","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,1.57,,
"GRC","Greece","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,15.65,,
"HUN","Hungary","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,1.72,,
"ISL","Iceland","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.26,,
"IRL","Ireland","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,3.23,,
"ITA","Italy","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,6.59,,
"JPN","Japan","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,1.03,,
"KOR","Korea","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.05,,
"LUX","Luxembourg","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,2.35,,
"MEX","Mexico","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.07,,
"NLD","Netherlands","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,1.97,,
"NZL","New Zealand","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.74,,
"NOR","Norway","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.66,,
"POL","Poland","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,1.52,,
"PRT","Portugal","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,4.43,,
"SVK","Slovak Republic","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,4.78,,
"ESP","Spain","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,7.66,,
"SWE","Sweden","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,1.12,,
"CHE","Switzerland","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,1.82,,
"TUR","Turkey","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,2.39,,
"GBR","United Kingdom","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,1.13,,
"USA","United States","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.66,,
"EST","Estonia","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,1.92,,
"ISR","Israel","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.49,,
"LVA","Latvia","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,3.35,,
"RUS","Russia","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,1.59,,
"SVN","Slovenia","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,3.17,,
"ZAF","South Africa","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,16.46,,
"OECD","OECD - Total","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,1.78,,
"AUS","Australia","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,1.38,,
"AUT","Austria","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,1.99,,
"BEL","Belgium","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,3.71,,
"CAN","Canada","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,0.88,,
"CZE","Czech Republic","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,0.85,,
"DNK","Denmark","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,1.34,,
"FIN","Finland","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,2.44,,
"FRA","France","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,4.2,,
"DEU","Germany","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,1.8,,
"GRC","Greece","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,12.62,,
"HUN","Hungary","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,1.59,,
"ISL","Iceland","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,0.24,,
"IRL","Ireland","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,3.83,,
"ITA","Italy","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,6.17,,
"JPN","Japan","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,1.38,,
"KOR","Korea","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,0.05,,
"LUX","Luxembourg","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,2.69,,
"MEX","Mexico","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,0.06,,
"NLD","Netherlands","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,1.81,,
"NZL","New Zealand","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,0.72,,
"NOR","Norway","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,0.8,,
"POL","Poland","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,1.55,,
"PRT","Portugal","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,4.25,,
"SVK","Slovak Republic","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,4.91,,
"ESP","Spain","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,6.65,,
